"X","Y","DateTime","EpochTime"
"1712.4846","1115.7361","2017-10-08 18:17:54.984","1507501074984"
"1709.2759","1115.3976","2017-10-08 18:17:55.017","1507501075017"
"1710.6902","1114.7638","2017-10-08 18:17:55.050","1507501075050"
"1700.6252","1113.2699","2017-10-08 18:17:55.084","1507501075084"
"1702.4769","1112.8352","2017-10-08 18:17:55.117","1507501075117"
"1703.3945","1112.5492","2017-10-08 18:17:55.150","1507501075150"
"1706.2773","1112.5597","2017-10-08 18:17:55.184","1507501075184"
"1702.9877","1111.8016","2017-10-08 18:17:55.217","1507501075217"
"1700.5496","1111.1215","2017-10-08 18:17:55.251","1507501075251"
"1701.3318","1109.6857","2017-10-08 18:17:55.284","1507501075284"
"1339.6108","731.7982","2017-10-08 18:17:55.317","1507501075317"
"1355.9066","724.0397","2017-10-08 18:17:55.350","1507501075350"
"1362.231","723.6149","2017-10-08 18:17:55.384","1507501075384"
"1363.9327","727.5143","2017-10-08 18:17:55.417","1507501075417"
"1361.6215","731.2228","2017-10-08 18:17:55.450","1507501075450"
"1357.5365","735.9602","2017-10-08 18:17:55.484","1507501075484"
"1347.312","746.7443","2017-10-08 18:17:55.517","1507501075517"
"1347.1163","755.5867","2017-10-08 18:17:55.551","1507501075551"
"1324.0955","767.1724","2017-10-08 18:17:55.583","1507501075583"
"1328.7671","766.7856","2017-10-08 18:17:55.617","1507501075617"
"1332.1852","765.9262","2017-10-08 18:17:55.650","1507501075650"
"1333.8406","766.4725","2017-10-08 18:17:55.683","1507501075683"
"1334.363","769.0491","2017-10-08 18:17:55.717","1507501075717"
"1338.5427","773.1315","2017-10-08 18:17:55.750","1507501075750"
"1341.7196","778.0435","2017-10-08 18:17:55.783","1507501075783"
"1341.0033","784.5322","2017-10-08 18:17:55.817","1507501075817"
"1349.2894","787.1631","2017-10-08 18:17:55.850","1507501075850"
"1352.9673","791.527","2017-10-08 18:17:55.883","1507501075883"
"1356.7485","795.6386","2017-10-08 18:17:55.916","1507501075916"
"1359.8723","799.9028","2017-10-08 18:17:55.950","1507501075950"
"1363.0719","803.8657","2017-10-08 18:17:55.983","1507501075983"
"1365.8547","807.8318","2017-10-08 18:17:56.016","1507501076016"
"1368.1841","811.8275","2017-10-08 18:17:56.050","1507501076050"
"1370.6075","815.5619","2017-10-08 18:17:56.083","1507501076083"
"1372.9135","819.1792","2017-10-08 18:17:56.116","1507501076116"
"1375.0414","822.751","2017-10-08 18:17:56.150","1507501076150"
"1376.7869","826.3468","2017-10-08 18:17:56.183","1507501076183"
"1378.2556","829.9733","2017-10-08 18:17:56.216","1507501076216"
"1379.0011","833.3782","2017-10-08 18:17:56.249","1507501076249"
"1378.8141","836.6554","2017-10-08 18:17:56.283","1507501076283"
"1379.1227","839.1736","2017-10-08 18:17:56.316","1507501076316"
"1378.4799","841.7803","2017-10-08 18:17:56.349","1507501076349"
"1377.7799","845.288","2017-10-08 18:17:56.383","1507501076383"
"1377.5043","848.0123","2017-10-08 18:17:56.416","1507501076416"
"1378.1372","849.6897","2017-10-08 18:17:56.449","1507501076449"
"1378.448","851.1036","2017-10-08 18:17:56.483","1507501076483"
"1376.7134","852.9373","2017-10-08 18:17:56.516","1507501076516"
"1374.874","854.1885","2017-10-08 18:17:56.549","1507501076549"
"1374.1096","854.1994","2017-10-08 18:17:56.583","1507501076583"
"1371.5022","854.4526","2017-10-08 18:17:56.616","1507501076616"
"1369.0804","854.1618","2017-10-08 18:17:56.649","1507501076649"
"1365.3505","854.0229","2017-10-08 18:17:56.682","1507501076682"
"1362.0367","853.3829","2017-10-08 18:17:56.716","1507501076716"
"1358.5691","852.5537","2017-10-08 18:17:56.749","1507501076749"
"1355.0139","851.5272","2017-10-08 18:17:56.782","1507501076782"
"1351.6218","850.3078","2017-10-08 18:17:56.816","1507501076816"
"1348.2048","848.9069","2017-10-08 18:17:56.849","1507501076849"
"1344.5155","847.3762","2017-10-08 18:17:56.882","1507501076882"
"1340.4646","845.8315","2017-10-08 18:17:56.916","1507501076916"
"1336.1365","844.2696","2017-10-08 18:17:56.949","1507501076949"
"1330.073","843.3109","2017-10-08 18:17:56.982","1507501076982"
"1325.4248","841.646","2017-10-08 18:17:57.016","1507501077016"
"1320.5927","839.9828","2017-10-08 18:17:57.049","1507501077049"
"1315.8818","838.3444","2017-10-08 18:17:57.082","1507501077082"
"1311.3744","836.7036","2017-10-08 18:17:57.115","1507501077115"
"1306.6453","835.2746","2017-10-08 18:17:57.149","1507501077149"
"1300.6476","834.6077","2017-10-08 18:17:57.182","1507501077182"
"1296.0712","833.2904","2017-10-08 18:17:57.215","1507501077215"
"1291.4823","832.1284","2017-10-08 18:17:57.249","1507501077249"
"1288.1926","830.4522","2017-10-08 18:17:57.282","1507501077282"
"1285.335","828.828","2017-10-08 18:17:57.315","1507501077315"
"1280.7484","828.4616","2017-10-08 18:17:57.349","1507501077349"
"1277.9581","827.4816","2017-10-08 18:17:57.382","1507501077382"
"1275.2877","826.7344","2017-10-08 18:17:57.415","1507501077415"
"1273.1047","826.0874","2017-10-08 18:17:57.449","1507501077449"
"1271.231","825.5038","2017-10-08 18:17:57.482","1507501077482"
"1269.8704","824.8719","2017-10-08 18:17:57.515","1507501077515"
"1268.9659","824.2089","2017-10-08 18:17:57.548","1507501077548"
"1269.3912","823.002","2017-10-08 18:17:57.582","1507501077582"
"1269.2432","822.2766","2017-10-08 18:17:57.615","1507501077615"
"1269.4325","821.5068","2017-10-08 18:17:57.648","1507501077648"
"1269.5012","820.9486","2017-10-08 18:17:57.682","1507501077682"
"1269.9832","820.3497","2017-10-08 18:17:57.715","1507501077715"
