"X","Y","DateTime","EpochTime"
"0.0","0.0","2017-10-08 18:42:41.341","1507502561341"
"0.0","0.0","2017-10-08 18:42:41.374","1507502561374"
"965.5217","796.6207","2017-10-08 18:42:41.408","1507502561408"
"964.4984","796.4166","2017-10-08 18:42:41.441","1507502561441"
"963.1339","795.4639","2017-10-08 18:42:41.474","1507502561474"
"962.0349","794.2561","2017-10-08 18:42:41.508","1507502561508"
"961.4138","793.2274","2017-10-08 18:42:41.541","1507502561541"
"960.8474","792.0194","2017-10-08 18:42:41.574","1507502561574"
"960.4211","791.1135","2017-10-08 18:42:41.608","1507502561608"
"960.6127","788.4702","2017-10-08 18:42:41.641","1507502561641"
"756.7528","576.1537","2017-10-08 18:42:41.674","1507502561674"
"759.1479","569.6849","2017-10-08 18:42:41.708","1507502561708"
"758.8154","569.503","2017-10-08 18:42:41.741","1507502561741"
"758.1873","568.2285","2017-10-08 18:42:41.774","1507502561774"
"756.7178","569.9877","2017-10-08 18:42:41.807","1507502561807"
"756.4374","568.9198","2017-10-08 18:42:41.841","1507502561841"
"743.6819","573.8914","2017-10-08 18:42:41.874","1507502561874"
"584.0318","514.8685","2017-10-08 18:42:41.907","1507502561907"
"556.8344","509.2394","2017-10-08 18:42:41.941","1507502561941"
"538.3077","504.7105","2017-10-08 18:42:41.974","1507502561974"
"525.412","501.6506","2017-10-08 18:42:42.007","1507502562007"
"505.0919","495.6255","2017-10-08 18:42:42.041","1507502562041"
"461.9931","491.4302","2017-10-08 18:42:42.074","1507502562074"
"512.2616","508.3073","2017-10-08 18:42:42.107","1507502562107"
"520.4011","506.9315","2017-10-08 18:42:42.141","1507502562141"
"525.5884","509.5338","2017-10-08 18:42:42.174","1507502562174"
"529.993","510.4584","2017-10-08 18:42:42.207","1507502562207"
"533.9174","511.8516","2017-10-08 18:42:42.240","1507502562240"
"537.3325","513.5818","2017-10-08 18:42:42.274","1507502562274"
"540.2596","515.433","2017-10-08 18:42:42.307","1507502562307"
"542.8314","517.1838","2017-10-08 18:42:42.340","1507502562340"
"545.0316","518.7245","2017-10-08 18:42:42.374","1507502562374"
"547.0309","520.1865","2017-10-08 18:42:42.407","1507502562407"
"548.8549","521.5368","2017-10-08 18:42:42.440","1507502562440"
"550.4235","522.8005","2017-10-08 18:42:42.474","1507502562474"
"551.7787","523.973","2017-10-08 18:42:42.507","1507502562507"
"553.0473","525.0106","2017-10-08 18:42:42.540","1507502562540"
"554.1816","526.069","2017-10-08 18:42:42.574","1507502562574"
"555.2192","527.0356","2017-10-08 18:42:42.607","1507502562607"
"556.1234","527.9106","2017-10-08 18:42:42.640","1507502562640"
"556.9576","528.7593","2017-10-08 18:42:42.673","1507502562673"
"557.6936","529.6184","2017-10-08 18:42:42.707","1507502562707"
"558.5631","531.1694","2017-10-08 18:42:42.740","1507502562740"
"559.2996","532.8655","2017-10-08 18:42:42.773","1507502562773"
"1044.1218","720.8091","2017-10-08 18:42:42.807","1507502562807"
"1033.7534","722.1308","2017-10-08 18:42:42.840","1507502562840"
"1032.5431","726.7475","2017-10-08 18:42:42.873","1507502562873"
"1031.6564","728.7878","2017-10-08 18:42:42.907","1507502562907"
"1025.8325","727.9753","2017-10-08 18:42:42.940","1507502562940"
"1025.1743","732.0441","2017-10-08 18:42:42.973","1507502562973"
"817.8683","744.7397","2017-10-08 18:42:43.006","1507502563006"
"820.7869","756.9898","2017-10-08 18:42:43.040","1507502563040"
"821.3926","757.5617","2017-10-08 18:42:43.074","1507502563074"
"823.4196","757.8573","2017-10-08 18:42:43.106","1507502563106"
"824.0343","757.7468","2017-10-08 18:42:43.140","1507502563140"
"824.5093","758.3789","2017-10-08 18:42:43.173","1507502563173"
"820.9241","778.738","2017-10-08 18:42:43.206","1507502563206"
